City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kruisfontein,ZA,-34.0033,24.7314,55.49,94,7,4.05,clear sky
80,Neuquen,AR,-38.9516,-68.0591,49.89,46,0,2.3,clear sky
81,Northam,GB,51.0333,-4.2167,63.39,94,100,25.01,heavy intensity rain
82,Meulaboh,ID,4.1363,96.1285,79.95,78,100,1.61,overcast clouds
83,Goderich,CA,43.7501,-81.7165,61.12,82,100,6.91,overcast clouds
84,Medina Del Campo,ES,41.3124,-4.9141,61.75,74,100,7.58,overcast clouds
85,Charters Towers,AU,-20.1,146.2667,88.11,24,2,11.81,clear sky
86,Chokwe,MZ,-24.5333,32.9833,67.89,69,0,3.85,clear sky
87,Sisophon,KH,13.5859,102.9737,84.07,75,100,4.09,light rain
88,Doctor Juan Leon Mallorquin,PY,-25.4,-55.2667,74.93,46,0,3.62,clear sky
89,Berberati,CF,4.2612,15.7922,67.53,99,100,1.52,moderate rain
90,Markova,UA,48.6758,24.4138,52.32,93,68,2.26,broken clouds
91,Lebork,PL,54.5392,17.7501,51.93,71,54,9.86,broken clouds
92,Grand-Santi,GF,4.25,-54.3833,71.51,98,27,2.86,scattered clouds
93,Hovin,NO,63.1055,10.225,60.13,85,76,8.28,broken clouds
94,Yulara,AU,-25.2406,130.9889,87.64,8,95,16.11,overcast clouds
95,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,75,16.11,broken clouds
96,Half Moon Bay,US,37.4636,-122.4286,64.29,80,90,6.91,overcast clouds
97,Oshnaviyeh,IR,37.0397,45.0983,43.05,48,0,0.2,clear sky
98,Baykit,RU,61.67,96.37,38.77,62,100,10.65,overcast clouds
99,Baripada,IN,21.935,86.7214,83.53,81,35,8.3,light rain
100,Douentza,ML,14.9951,-2.9517,91.04,27,88,3.24,overcast clouds
101,Boddam,GB,57.4667,-1.7833,58.08,96,100,14.47,overcast clouds
102,Boyolangu,ID,-8.1181,111.8935,83.23,64,62,12.37,broken clouds
103,Vila Velha,BR,-20.3297,-40.2925,73.35,78,75,4.61,broken clouds
104,Codrington,AU,-38.2667,141.9667,64.2,53,13,12.41,few clouds
105,Olafsvik,IS,64.8945,-23.7142,38.43,73,100,28.88,overcast clouds
106,Kaitangata,NZ,-46.2817,169.8464,50.94,52,5,8.03,clear sky
107,Touros,BR,-5.1989,-35.4608,76.1,84,59,13.91,broken clouds
108,Takapau,NZ,-40.0333,176.35,51.19,95,100,4.97,overcast clouds
109,Yellowknife,CA,62.456,-114.3525,42.57,87,20,4.61,few clouds
110,Grindavik,IS,63.8424,-22.4338,39.67,81,90,29.93,overcast clouds
111,Ribeira Grande,PT,38.5167,-28.7,68.34,73,73,21.7,broken clouds
112,Bethal,ZA,-26.4579,29.4655,53.55,46,6,4.27,clear sky
113,Vaini,TO,-21.2,-175.2,77.16,78,75,5.75,broken clouds
114,Taksimo,RU,56.3444,114.8794,38.35,83,100,4.0,light rain
115,Atar,MR,20.5169,-13.0499,92.21,16,4,6.67,clear sky
116,Placido De Castro,BR,-10.3353,-67.1856,80.51,57,1,3.62,clear sky
117,Palmas,BR,-10.2128,-48.3603,71.47,94,75,4.61,broken clouds
118,Banda Aceh,ID,5.5577,95.3222,85.03,65,100,11.95,moderate rain
119,Dunedin,NZ,-45.8742,170.5036,48.52,60,49,13.87,scattered clouds
120,Tornio,FI,65.8481,24.1466,46.42,94,71,10.89,broken clouds
121,Ust-Tsilma,RU,65.441,52.1498,38.5,92,100,5.57,overcast clouds
122,Itororo,BR,-15.1169,-40.0703,66.88,95,89,1.86,overcast clouds
123,Muros,ES,42.7762,-9.0603,68.23,91,100,13.47,light rain
124,Poum,NC,-20.2333,164.0167,72.59,63,8,7.58,clear sky
125,Saint George,US,37.1041,-113.5841,84.94,27,1,1.99,clear sky
126,Saldanha,ZA,-33.0117,17.9442,55.45,89,3,14.88,clear sky
127,Berlevag,NO,70.8578,29.0864,50.0,85,100,19.3,overcast clouds
128,Dwarka,IN,22.2394,68.9678,82.15,81,89,4.38,overcast clouds
129,Port Alfred,ZA,-33.5906,26.891,64.24,88,33,20.24,scattered clouds
130,Guerrero Negro,MX,27.9769,-114.0611,69.57,75,0,18.79,clear sky
131,Lebu,CL,-37.6167,-73.65,47.62,77,3,18.68,clear sky
132,Cochrane,CA,51.1834,-114.4687,65.48,38,75,11.5,broken clouds
133,Sabang,ID,5.8933,95.3214,81.72,77,100,18.14,moderate rain
134,Budureasa,RO,46.6667,22.5,54.01,57,0,5.77,clear sky
135,Upernavik,GL,72.7868,-56.1549,23.67,63,0,4.12,clear sky
136,Calama,CL,-22.4667,-68.9333,58.8,15,0,7.65,clear sky
137,Aleksandrovskiy Zavod,RU,50.9237,117.9374,45.28,48,3,19.22,clear sky
138,Beloha,MG,-25.1667,45.05,67.57,69,0,7.74,clear sky
139,Acapulco,MX,16.8634,-99.8901,80.8,82,96,4.12,overcast clouds
140,Bambous Virieux,MU,-20.3428,57.7575,71.22,94,75,18.41,broken clouds
141,Cherskiy,RU,68.75,161.3,28.92,82,100,17.36,overcast clouds
142,Lavrentiya,RU,65.5833,-171.0,33.04,82,68,3.42,broken clouds
